name, nsyll, npause, dur(s), phonationtime(s), speechrate(nsyll/dur), articulation_rate(nsyll/phonationtime), ASD(speakingtime/nsyll), nrFP, tFP(s)
QPPY5-story_2-20230120114816570, 248, 65, 117.46, 73.60, 2.11, 3.37, 0.297, 21, 4.147
QTB2S-story_3-20221216105258185, 261, 39, 95.80, 71.04, 2.72, 3.67, 0.272, 27, 6.281
SMVCS-story_1-20221103091343185, 176, 78, 162.56, 44.99, 1.08, 3.91, 0.256, 32, 5.399
VJCMQ-story_2-20221123111647247, 217, 112, 181.79, 87.98, 1.19, 2.47, 0.405, 70, 26.562
WHHXX-story_3-20221107134241743, 219, 75, 180.81, 72.19, 1.21, 3.03, 0.330, 24, 5.348
XSWMB-story_1-20221216115257809, 223, 37, 84.70, 61.02, 2.63, 3.65, 0.274, 10, 2.916
YHTKC-story_1-20221117135859005, 257, 107, 159.78, 83.42, 1.61, 3.08, 0.325, 39, 9.638
YJ3PN-story_2-20230109112554434, 181, 26, 67.58, 48.94, 2.68, 3.70, 0.270, 15, 2.582
YKGD3-story_3-20221213115329236, 262, 96, 181.24, 95.25, 1.45, 2.75, 0.364, 65, 14.624
YKKTR-story_1-20221128103838446, 214, 43, 88.18, 55.55, 2.43, 3.85, 0.260, 13, 3.720
YMRDV-story_2-20221107093630712, 255, 47, 91.08, 64.35, 2.80, 3.96, 0.252, 11, 1.592
YQFGF-story_3-20230116132345386, 240, 73, 133.78, 89.52, 1.79, 2.68, 0.373, 45, 10.841
YVBRP-story_1-20230117092034221, 253, 68, 126.90, 81.36, 1.99, 3.11, 0.322, 80, 16.896
YVBRP-story_3-20230117092704671, 276, 59, 133.88, 87.81, 2.06, 3.14, 0.318, 57, 11.666
YWPWY-story_2-20230120093546063, 269, 54, 120.82, 83.87, 2.23, 3.21, 0.312, 30, 7.249
YWPWY-story_3-20230120093834357, 284, 67, 143.72, 92.72, 1.98, 3.06, 0.326, 22, 5.427
Z2BYD-story_1-20221212135752996, 247, 47, 100.14, 72.45, 2.47, 3.41, 0.293, 58, 9.787
Z2BYD-story_2-20221212135954497, 228, 43, 89.42, 64.12, 2.55, 3.56, 0.281, 39, 7.088
ZDPNZ-story_1-20221107124621000, 206, 59, 125.00, 58.56, 1.65, 3.52, 0.284, 14, 3.095
ZDPNZ-story_2-20221107124826712, 215, 51, 110.34, 60.69, 1.95, 3.54, 0.282, 24, 5.288
ZMQG2-story_2-20221128114456538, 229, 53, 103.06, 64.56, 2.22, 3.55, 0.282, 17, 3.840
ZMQG2-story_3-20221128120521593, 243, 56, 102.56, 65.58, 2.37, 3.71, 0.270, 11, 1.488
ZNNGY-story_1-20230110103052876, 281, 55, 121.60, 87.38, 2.31, 3.22, 0.311, 55, 12.299
ZNNGY-story_3-20230110103621268, 283, 66, 148.34, 102.05, 1.91, 2.77, 0.361, 64, 13.846
ZPGND-story_1-20230116114338346, 232, 53, 112.56, 79.90, 2.06, 2.90, 0.344, 24, 5.104
ZPGND-story_3-20230116114853113, 252, 63, 124.36, 87.54, 2.03, 2.88, 0.347, 29, 6.130
ZQV5W-story_2-20221212100028130, 256, 58, 116.30, 73.73, 2.20, 3.47, 0.288, 16, 3.356
ZQV5W-story_3-20221212100321019, 303, 75, 158.64, 98.40, 1.91, 3.08, 0.325, 20, 5.207
ZRYSY-story_1-20230118130029370, 278, 84, 177.58, 87.78, 1.57, 3.17, 0.316, 28, 7.158
ZRYSY-story_2-20230118130336949, 260, 81, 168.58, 89.36, 1.54, 2.91, 0.344, 36, 10.835
