promptID,aligned_asrTrans,reversed_aligned_asrTrans,correct,confidence,startTime,endTimes
0-0-Verslaafd,verslaafd,verslaafd,True,0.729,1.44,2.34
1-0-Als,als,als,True,0.528,3.16,3.46
1-1-ouders,ouders,ouders,True,0.831,4.02,4.36
1-2-zien,zien,zien,True,0.857,4.36,4.56
1-3-dat,dat,dat,True,0.899,4.56,4.84
1-4-je,j*,je,True,0.863,4.84,5.16
1-5-veel,***e*,****,False,0.0,0.0,0.0
1-6-aan,aan,*aan,True,0.919,5.4,5.56
1-7-het,het,het,True,0.838,5.56,5.7
1-8-gamen,gamen,gamen,True,0.81,5.7,6.02
1-9-bent,bent,bent,True,0.893,6.02,6.66
1-10-denken,denken,denken,True,0.465,6.9,7.32
1-11-ze,ze,ze,True,0.886,7.32,7.58
1-12-misschien,misschien,misschien is,True,0.638,7.6,8.22
1-13-dat,is dat,dat,True,0.673,8.88,9.2
1-14-hun,hun,hun,True,0.45,11.16,11.38
1-15-kind,kind,kind,True,0.654,11.38,11.74
1-16-verslaafd,verslaafd,verslaafd,True,0.882,11.74,12.42
1-17-is,is,is,True,0.869,12.42,12.62
1-18-aan,aan,aan,True,0.828,13.12,13.4
1-19-gamen,gamen,gamen,True,0.804,13.4,13.98
2-0-Jij,jij,jij,True,0.885,14.86,15.4
2-1-kunt,kunt,kunt,True,0.661,17.54,17.76
2-2-ze,ze,ze,True,0.928,17.76,17.98
2-3-vast,vast,vast,True,0.927,17.98,18.28
2-4-wel,wel,wel,True,0.566,18.28,18.52
2-5-geruststellen,gelukkig stellen,gelukkig stellen,False,0.0,0.0,0.0
2-6-want,want,want,True,0.779,19.98,20.26
2-7-er,er,er,True,0.901,20.26,20.44
2-8-zijn,zijn,zijn,True,0.829,20.44,20.64
2-9-maar,maar,maar,True,0.87,20.64,20.82
2-10-heel,*****,****,False,0.0,0.0,0.0
2-11-weinig,weinig,*weinig,True,0.86,20.82,21.2
2-12-kinderen,kinderen,kinderen,True,0.548,21.2,21.54
2-13-op,op,op,True,0.913,21.54,21.76
2-14-de,de,de,True,0.831,21.76,21.88
2-15-basisschool,basisschool,basisschool,True,0.825,21.88,23.14
2-16-cht,echt,echt,True,0.778,23.14,23.5
