task	studentID	mean	std	min	perc25	perc50	perc75	max
story1	SMVCS	0.244	0.413	-1.494	0.013	0.148	0.381	2.327
story1	XSWMB	0.123	0.275	-0.51	-0.012	0.061	0.201	2.026
story1	YVBRP	0.176	0.345	-1.557	-0.043	0.145	0.298	1.345
story1	Z2BYD	0.184	0.361	-0.397	-0.013	0.108	0.257	3.135
story1	ZDPNZ	0.198	0.3	-0.181	0.007	0.13	0.27	2.448
story2	QPPY5	0.221	0.297	-0.352	-0.008	0.173	0.406	1.415
story2	VJCMQ	0.833	0.811	-0.572	0.33	0.672	1.118	5.25
story2	YWPWY	0.241	0.363	-0.841	-0.02	0.194	0.377	2.19
story2	Z2BYD	0.16	0.259	-0.622	-0.004	0.112	0.294	1.877
story2	ZMQG2	0.246	0.357	-0.332	-0.016	0.174	0.397	2.518
story2	ZQV5W	0.227	0.346	-0.466	-0.03	0.175	0.416	1.598
story3	QTB2S	0.225	0.34	-1.665	0.011	0.168	0.372	1.811
story3	WHHXX	0.53	1.655	-0.569	0.054	0.319	0.561	17.457
story3	YVBRP	0.199	0.504	-3.595	-0.026	0.13	0.404	2.148
story3	YWPWY	0.344	0.431	-0.628	0.061	0.319	0.493	2.579
story3	ZNNGY	0.486	0.614	-0.172	0.156	0.394	0.626	5.674
story3	ZPGND	0.263	0.41	-0.913	-0.015	0.23	0.451	1.913
