task	studentID	mean	std	min	perc25	perc50	perc75	max
story1	SMVCS	43.656	58.484	-1.286	0.035	0.145	103.095	161.277
story1	XSWMB	20.114	28.436	-0.735	0.034	0.103	44.093	82.934
story1	YVBRP	36.044	46.197	-0.575	0.063	0.189	82.344	125.86
story1	Z2BYD	25.05	34.179	-0.29	0.02	0.123	54.873	99.259
story1	ZDPNZ	34.815	43.009	-0.418	0.032	0.099	72.705	123.247
story2	QPPY5	28.25	38.765	-1.34	0.043	0.157	51.138	116.869
story2	VJCMQ	49.24	62.547	-2.788	-0.025	10.688	95.278	180.425
story2	YWPWY	32.693	40.105	-1.478	0.081	4.406	63.18	118.21
story2	Z2BYD	21.822	29.988	-0.417	0.048	0.144	43.328	88.33
story2	ZMQG2	29.176	35.604	-0.974	0.059	2.895	61.686	100.34
story2	ZQV5W	37.088	42.866	-1.389	0.09	11.832	77.714	115.074
story3	QTB2S	27.385	34.437	-0.346	0.046	0.123	60.183	94.942
story3	WHHXX	61.785	67.661	-1.904	0.052	24.105	120.719	177.816
story3	YVBRP	39.245	48.042	-0.317	0.075	8.222	80.007	133.645
story3	YWPWY	43.89	52.67	-117.871	0.054	12.146	93.063	141.099
story3	ZNNGY	45.188	53.566	-2.01	0.034	0.254	90.101	146.916
story3	ZPGND	38.274	44.498	-1.878	0.041	4.897	79.841	123.774
