task	studentID	mean	std	min	perc25	perc50	perc75	max
story1	SMVCS	43.899	58.66	-0.112	0.068	0.182	103.334	161.992
story1	XSWMB	20.237	28.564	-0.076	0.038	0.091	45.215	83.38
story1	YVBRP	36.218	46.403	-0.656	0.061	0.141	82.518	126.765
story1	Z2BYD	25.229	34.364	-0.388	0.041	0.106	55.21	100.003
story1	ZDPNZ	35.005	43.277	-0.396	0.04	0.173	72.873	123.931
story2	QPPY5	28.471	38.919	-0.16	0.056	0.152	51.59	117.4
story2	VJCMQ	50.031	62.728	-0.065	0.232	11.209	96.134	181.546
story2	YWPWY	32.138	39.997	-0.319	0.06	3.835	63.266	118.939
story2	Z2BYD	22.219	30.215	-0.103	0.05	0.139	44.807	88.432
story2	ZMQG2	29.393	35.755	-0.806	0.055	3.502	62.008	101.162
story2	ZQV5W	37.298	43.055	-1.168	0.051	12.13	77.905	115.969
story3	QTB2S	27.61	34.599	-0.119	0.07	0.185	60.642	95.3
story3	WHHXX	62.296	67.886	-2.012	0.112	24.532	121.258	178.102
story3	YVBRP	39.505	47.918	-0.164	0.059	8.377	80.309	133.88
story3	YWPWY	44.233	52.837	-117.599	0.09	12.965	93.517	141.775
story3	ZNNGY	45.611	53.727	-3.224	0.128	1.01	90.647	147.61
story3	ZPGND	38.523	44.684	-0.53	0.035	5.307	80.211	124.262
